機構編號,機構名稱,行政區,類型,核准人數/班級,聯絡地址,聯絡電話,風險等級,綜合風險評分,首要稽核重點
ntpc-pre-0376,新北市三峽區三峽國民小學附設幼兒園,三峽區,公立學校附設幼兒園,134,新北市三峽區中山路16號,02-2953-1326,低風險,34,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0379,新北市三峽區中園國民小學附設幼兒園,三峽區,公立學校附設幼兒園,118,新北市三峽區大埔路14號,02-2864-2446,低風險,17,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0382,新北市三峽區五寮國民小學附設幼兒園,三峽區,公立學校附設幼兒園,98,新北市三峽區五寮里69號,02-2768-1588,低風險,30,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0377,新北市三峽區介壽國民小學附設幼兒園,三峽區,公立學校附設幼兒園,204,新北市三峽區介壽路一段34號,02-2464-8559,低風險,19,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0380,新北市三峽區大埔國民小學附設幼兒園,三峽區,公立學校附設幼兒園,192,新北市三峽區大埔路221號,02-2696-5647,低風險,20,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0378,新北市三峽區安溪國民小學附設幼兒園,三峽區,公立學校附設幼兒園,108,新北市三峽區中華路42號,02-2723-5879,低風險,35,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0383,新北市三峽區成福國民小學附設幼兒園,三峽區,公立學校附設幼兒園,167,新北市三峽區溪東路213號,02-2422-4330,高風險,86,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0381,新北市三峽區插角國民小學附設幼兒園,三峽區,公立學校附設幼兒園,123,新北市三峽區插角里39號,02-2878-8637,低風險,35,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-hs-0039,新北市私立辭修高級中學,三峽區,私立高中,1300,新北市三峽區溪東路251號,02-2441-2066,低風險,22,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0462,新北市私立道禾幼兒園三峽校,三峽區,私立幼兒園,140,新北市三峽區大學路156號,02-2788-4980,低風險,32,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-jh-0089,新北市立三峽國民中學,三峽區,市立國中,1700,新北市三峽區復興路238號,02-2917-6571,中風險,53,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0212,新北市立三峽國民小學,三峽區,市立國小,2300,新北市三峽區中山路16號,02-2327-4391,低風險,35,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0215,新北市立中園國民小學,三峽區,市立國小,1550,新北市三峽區大埔路14號,02-2661-5516,低風險,28,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0218,新北市立五寮國民小學,三峽區,市立國小,550,新北市三峽區五寮里69號,02-2491-8459,低風險,25,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0213,新北市立介壽國民小學,三峽區,市立國小,2150,新北市三峽區介壽路一段34號,02-2511-4773,低風險,30,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0038,新北市立北大高級中學,三峽區,市立高中,1500,新北市三峽區大義路277號,02-2482-4514,中風險,50,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0216,新北市立大埔國民小學,三峽區,市立國小,1300,新北市三峽區大埔路221號,02-2400-4009,中風險,51,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-jh-0090,新北市立安溪國民中學,三峽區,市立國中,1400,新北市三峽區大同路135號,02-2969-1149,中風險,57,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0214,新北市立安溪國民小學,三峽區,市立國小,1850,新北市三峽區中華路42號,02-2936-6708,中風險,65,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0219,新北市立成福國民小學,三峽區,市立國小,800,新北市三峽區溪東路213號,02-2454-2932,低風險,16,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0217,新北市立插角國民小學,三峽區,市立國小,650,新北市三峽區插角里39號,02-2923-6548,低風險,16,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-hs-0064,新北市立明德高級中學,三峽區,市立高中,1800,新北市三峽區中正路二段399號,02-2672-3302,低風險,25,綜合型高中與體育重點培訓運動場館安全設施保養紀錄。；學生餐廳團膳合約履約保證與食品安全快篩檢驗留存。
ntpc-jh-0091,新北市立明德高級中學國中部,三峽區,市立國中,1100,新北市三峽區中正路二段399號,02-2430-1359,低風險,18,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0421,新北市三芝區三芝國民小學附設幼兒園,三芝區,公立學校附設幼兒園,198,新北市三芝區育英街22號,02-2304-9982,低風險,26,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0422,新北市三芝區興華國民小學附設幼兒園,三芝區,公立學校附設幼兒園,117,新北市三芝區楓林1號,02-2592-8658,低風險,36,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-jh-0105,新北市立三芝國民中學,三芝區,市立國中,600,新北市三芝區淡金路一段38號,02-2607-4133,低風險,15,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0257,新北市立三芝國民小學,三芝區,市立國小,1200,新北市三芝區育英街22號,02-2290-5797,低風險,18,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-el-0258,新北市立興華國民小學,三芝區,市立國小,600,新北市三芝區楓林1號,02-2542-7333,低風險,29,中央廚房食材登錄平台每日食材驗收與溯源登錄稽查。；校舍樓梯走廊防墜設施、消防設備檢修合格證在效期內。
ntpc-pre-0319,新北市三重區三和國民小學附設幼兒園,三重區,公立學校附設幼兒園,191,新北市三重區三和路四段216號,02-2434-4526,低風險,16,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0322,新北市三重區二重國民小學附設幼兒園,三重區,公立學校附設幼兒園,92,新北市三重區大有街10號,02-2383-3284,低風險,32,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0326,新北市三重區五華國民小學附設幼兒園,三重區,公立學校附設幼兒園,168,新北市三重區集賢路89號,02-2371-5563,低風險,23,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0316,新北市三重區修德國民小學附設幼兒園,三重區,公立學校附設幼兒園,196,新北市三重區重陽路三段3號,02-2986-8310,低風險,26,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0321,新北市三重區光榮國民小學附設幼兒園,三重區,公立學校附設幼兒園,137,新北市三重區介壽路63號,02-2951-7897,低風險,32,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0327,新北市三重區光興國民小學附設幼兒園,三重區,公立學校附設幼兒園,91,新北市三重區光興街186號,02-2693-5030,低風險,33,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0317,新北市三重區厚德國民小學附設幼兒園,三重區,公立學校附設幼兒園,176,新北市三重區忠孝路一段70號,02-2687-5266,低風險,19,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0320,新北市三重區正義國民小學附設幼兒園,三重區,公立學校附設幼兒園,176,新北市三重區信義西街31號,02-2264-8548,低風險,33,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0318,新北市三重區碧華國民小學附設幼兒園,三重區,公立學校附設幼兒園,127,新北市三重區五華街160號,02-2410-8977,低風險,32,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0325,新北市三重區興華國民小學附設幼兒園,三重區,公立學校附設幼兒園,105,新北市三重區中華路47號,02-2609-8114,低風險,18,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0324,新北市三重區重陽國民小學附設幼兒園,三重區,公立學校附設幼兒園,115,新北市三重區中正北路113號,02-2997-1621,低風險,26,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0323,新北市三重區集美國民小學附設幼兒園,三重區,公立學校附設幼兒園,207,新北市三重區集美街10號,02-2747-4215,高風險,82,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
ntpc-pre-0466,新北市三重碧華非營利幼兒園,三重區,非營利幼兒園,140,新北市三重區自強路五段66號,02-2825-1280,低風險,16,查核師生比是否符合法定標準（幼幼班 1:8、大中小班 1:15）。；核對現場教保服務人員之教師證、教保員資格備查冊。
